RetainedRef	DuplicateRef
ENST00000611908.1	ENST00000618054.1
ENST00000624960.1	ENST00000623874.1
ENST00000491876.5	ENST00000463249.5
ENST00000568289.1	ENST00000563502.1
ENST00000604330.1	ENST00000605428.1
ENST00000619779.1	ENST00000619471.1
ENST00000619779.1	ENST00000612463.1
ENST00000619779.1	ENST00000616292.1
ENST00000619779.1	ENST00000610460.1
ENST00000619779.1	ENST00000618998.1
ENST00000619779.1	ENST00000613359.1
ENST00000619779.1	ENST00000611446.1
ENST00000616638.1	ENST00000617705.1
ENST00000455263.6	ENST00000610538.4
ENST00000582779.1	ENST00000611502.1
ENST00000582779.1	ENST00000584700.1
ENST00000564219.1	ENST00000529969.1
ENST00000634557.1	ENST00000634818.1
ENST00000434905.1	ENST00000443473.1
ENST00000375644.3	ENST00000375625.3
ENST00000333385.10	ENST00000340073.8
ENST00000333385.10	ENST00000575125.5
ENST00000648841.1	ENST00000365061.1
ENST00000643523.1	ENST00000256186.2
ENST00000516506.1	ENST00000516858.1
ENST00000601944.1	ENST00000443279.1
ENST00000385131.1	ENST00000385132.1
ENST00000617128.1	ENST00000364880.2
ENST00000369158.1	ENST00000403683.1
ENST00000470545.1	ENST00000622915.1
ENST00000516704.1	ENST00000516357.1
ENST00000648307.1	ENST00000364662.1
ENST00000641090.1	ENST00000374781.2
ENST00000374375.1	ENST00000650879.1
ENST00000504458.1	ENST00000503931.5
ENST00000625245.2	ENST00000628696.2
ENST00000375595.8	ENST00000375612.8
ENST00000621595.1	ENST00000560045.1
ENST00000543368.1	ENST00000543449.1
ENST00000543368.1	ENST00000546168.5
ENST00000566917.1	ENST00000564355.1
ENST00000471422.1	ENST00000472794.1
ENST00000471422.1	ENST00000480894.1
ENST00000398682.4	ENST00000623042.1
ENST00000617062.4	ENST00000623449.3
ENST00000504362.1	ENST00000509329.1
ENST00000362637.2	ENST00000363682.1
ENST00000362637.2	ENST00000364695.1
ENST00000360342.7	ENST00000645462.1
ENST00000618621.4	ENST00000640853.1
ENST00000476035.1	ENST00000615592.1
ENST00000307393.2	ENST00000304790.3
ENST00000467948.1	ENST00000485543.1
ENST00000432672.1	ENST00000437934.1
ENST00000578980.1	ENST00000582960.1
ENST00000622906.1	ENST00000614584.1
ENST00000440137.1	ENST00000445148.1
ENST00000384884.1	ENST00000384883.3
ENST00000603957.1	ENST00000604120.1
ENST00000516161.1	ENST00000516400.1
ENST00000562377.1	ENST00000611209.1
ENST00000641389.1	ENST00000396901.5
ENST00000616483.1	ENST00000616420.1
ENST00000616483.1	ENST00000617390.1
ENST00000616483.1	ENST00000622482.1
ENST00000485287.5	ENST00000459685.5
ENST00000283050.7	ENST00000526166.5
ENST00000503509.1	ENST00000513144.1
ENST00000306882.4	ENST00000306609.4
ENST00000364825.1	ENST00000363466.1
ENST00000619938.1	ENST00000616922.4
ENST00000445421.1	ENST00000454958.1
ENST00000549484.5	ENST00000610531.1
ENST00000460060.5	ENST00000485263.5
ENST00000477523.1	ENST00000463822.1
ENST00000400125.6	ENST00000317900.7
ENST00000458633.1	ENST00000415626.1
ENST00000646820.1	ENST00000643472.1
ENST00000510385.5	ENST00000618944.4
ENST00000623394.3	ENST00000624907.3
ENST00000568317.1	ENST00000568759.1
ENST00000618379.1	ENST00000619782.1
ENST00000614353.1	ENST00000615048.1
ENST00000487863.5	ENST00000652567.1
ENST00000490663.1	ENST00000496560.1
ENST00000581696.1	ENST00000584390.1
ENST00000485850.1	ENST00000476514.1
ENST00000444356.1	ENST00000623720.1
ENST00000563110.6	ENST00000622744.4
ENST00000630556.1	ENST00000604066.1
ENST00000667288.1	ENST00000275764.3
ENST00000384287.1	ENST00000384000.1
ENST00000651958.1	ENST00000652379.1
ENST00000542953.1	ENST00000543997.1
ENST00000384627.1	ENST00000384776.1
ENST00000384627.1	ENST00000384314.1
ENST00000384627.1	ENST00000383898.1
ENST00000384627.1	ENST00000384238.1
ENST00000384627.1	ENST00000606623.1
ENST00000384627.1	ENST00000384205.1
ENST00000439968.1	ENST00000428070.1
ENST00000391214.1	ENST00000391310.1
ENST00000391214.1	ENST00000390914.1
ENST00000637262.1	ENST00000641636.1
ENST00000335504.9	ENST00000471932.5
ENST00000602634.5	ENST00000644515.1
ENST00000485099.3	ENST00000606439.2
ENST00000648174.1	ENST00000650426.1
ENST00000516108.1	ENST00000516617.1
ENST00000516334.1	ENST00000516211.1
ENST00000631194.1	ENST00000399083.1
ENST00000564458.1	ENST00000564795.1
ENST00000620320.4	ENST00000619890.1
ENST00000383168.9	ENST00000672981.2
ENST00000605284.1	ENST00000604838.1
ENST00000634560.1	ENST00000635491.1
ENST00000649180.1	ENST00000365378.1
ENST00000637247.1	ENST00000393992.5
ENST00000269305.8	ENST00000620739.4
ENST00000309834.8	ENST00000344884.4
ENST00000433767.1	ENST00000413867.1
ENST00000420398.2	ENST00000405679.3
ENST00000624575.2	ENST00000624491.2
ENST00000611619.1	ENST00000621382.1
ENST00000645197.1	ENST00000453326.2
ENST00000536425.1	ENST00000582508.1
ENST00000516324.1	ENST00000612617.1
ENST00000516324.1	ENST00000516915.1
ENST00000544899.1	ENST00000538258.1
ENST00000495691.2	ENST00000428348.6
ENST00000602732.5	ENST00000602770.5
ENST00000602732.5	ENST00000602680.1
ENST00000624994.1	ENST00000624513.1
ENST00000470365.5	ENST00000486992.5
ENST00000426406.3	ENST00000332831.4
ENST00000426406.3	ENST00000456475.1
ENST00000616419.4	ENST00000617970.4
ENST00000440624.1	ENST00000604436.1
ENST00000390337.1	ENST00000390333.1
ENST00000432335.1	ENST00000433794.5
ENST00000516116.1	ENST00000515987.1
ENST00000397289.6	ENST00000397293.6
ENST00000412737.1	ENST00000449393.1
ENST00000621667.1	ENST00000401322.3
ENST00000621667.1	ENST00000637366.1
ENST00000621667.1	ENST00000401376.3
ENST00000623896.1	ENST00000433840.1
ENST00000331436.6	ENST00000327792.6
ENST00000330978.3	ENST00000305321.4
ENST00000520737.5	ENST00000456778.5
ENST00000642289.1	ENST00000646699.1
ENST00000580887.5	ENST00000536605.1
ENST00000617764.1	ENST00000613479.1
ENST00000481020.5	ENST00000481889.6
ENST00000448575.5	ENST00000448881.5
ENST00000448575.5	ENST00000445405.1
ENST00000582974.1	ENST00000612260.1
ENST00000582974.1	ENST00000584160.1
ENST00000582974.1	ENST00000584855.1
ENST00000584049.5	ENST00000395980.6
ENST00000420524.4	ENST00000423213.4
ENST00000420524.4	ENST00000622692.2
ENST00000420524.4	ENST00000598351.3
ENST00000614492.1	ENST00000577708.1
ENST00000610514.1	ENST00000622713.1
ENST00000610514.1	ENST00000621472.1
ENST00000638018.1	ENST00000638160.1
ENST00000415119.1	ENST00000436491.1
ENST00000439868.1	ENST00000447506.1
ENST00000493884.5	ENST00000483916.2
ENST00000541743.5	ENST00000536269.1
ENST00000647769.1	ENST00000647903.1
ENST00000365656.1	ENST00000364718.1
ENST00000365656.1	ENST00000365387.1
ENST00000365656.1	ENST00000362464.1
ENST00000365656.1	ENST00000364485.1
ENST00000365656.1	ENST00000365055.1
ENST00000365656.1	ENST00000363500.1
ENST00000365656.1	ENST00000363754.1
ENST00000365656.1	ENST00000363473.1
ENST00000365656.1	ENST00000362526.1
ENST00000365656.1	ENST00000362467.1
ENST00000365656.1	ENST00000363511.1
ENST00000365656.1	ENST00000365651.1
ENST00000365656.1	ENST00000362400.1
ENST00000365656.1	ENST00000363040.1
ENST00000365656.1	ENST00000362482.1
ENST00000446387.1	ENST00000432046.1
ENST00000609679.1	ENST00000444357.5
ENST00000626483.1	ENST00000630834.1
ENST00000626483.1	ENST00000627662.1
ENST00000626483.1	ENST00000630187.1
ENST00000626483.1	ENST00000561772.3
ENST00000418461.1	ENST00000441642.1
ENST00000250776.5	ENST00000250805.5
ENST00000515948.1	ENST00000516164.1
ENST00000515948.1	ENST00000516147.1
ENST00000502493.2	ENST00000513164.2
ENST00000436723.1	ENST00000452432.1
ENST00000408138.1	ENST00000408722.1
ENST00000672073.1	ENST00000672636.2
ENST00000390575.1	ENST00000390588.1
ENST00000672582.1	ENST00000673324.1
ENST00000341446.9	ENST00000671775.2
ENST00000383929.1	ENST00000384729.1
ENST00000422549.1	ENST00000425410.1
ENST00000436568.1	ENST00000420149.1
ENST00000436568.1	ENST00000456123.1
ENST00000637031.1	ENST00000463599.5
ENST00000419180.6	ENST00000541664.5
ENST00000395400.4	ENST00000566712.2
ENST00000543801.5	ENST00000541593.5
ENST00000543801.5	ENST00000531453.6
ENST00000611438.1	ENST00000604569.1
ENST00000641861.1	ENST00000368144.2
ENST00000584616.1	ENST00000580374.1
ENST00000431260.1	ENST00000451661.1
ENST00000619109.1	ENST00000384278.1
ENST00000619109.1	ENST00000383925.1
ENST00000619109.1	ENST00000384659.1
ENST00000619109.1	ENST00000383861.1
ENST00000619109.1	ENST00000384782.1
ENST00000619109.1	ENST00000384010.1
ENST00000619109.1	ENST00000615842.1
ENST00000619109.1	ENST00000383869.1
ENST00000472539.5	ENST00000496585.1
ENST00000627621.3	ENST00000650987.1
ENST00000516203.1	ENST00000516144.1
ENST00000441865.5	ENST00000457310.5
ENST00000564991.5	ENST00000543392.5
ENST00000618246.1	ENST00000617780.1
ENST00000544154.1	ENST00000538859.1
ENST00000331070.8	ENST00000382392.5
ENST00000331070.8	ENST00000382287.5
ENST00000517093.1	ENST00000516726.1
ENST00000517093.1	ENST00000516220.1
ENST00000565347.1	ENST00000569199.1
ENST00000648149.1	ENST00000437935.2
ENST00000440195.2	ENST00000418592.1
ENST00000363187.1	ENST00000410698.2
ENST00000615382.1	ENST00000610293.1
ENST00000615382.1	ENST00000516296.1
ENST00000615382.1	ENST00000621562.1
ENST00000618423.1	ENST00000618675.1
ENST00000618423.1	ENST00000614535.1
ENST00000618423.1	ENST00000612139.1
ENST00000618423.1	ENST00000610482.1
ENST00000618423.1	ENST00000615130.1
ENST00000618423.1	ENST00000619317.1
ENST00000618423.1	ENST00000619112.1
ENST00000648813.1	ENST00000363030.1
ENST00000619371.1	ENST00000618277.4
ENST00000533250.1	ENST00000528972.1
ENST00000384559.1	ENST00000516246.2
ENST00000384559.1	ENST00000459468.1
ENST00000612829.5	ENST00000635744.1
ENST00000612829.5	ENST00000636813.1
ENST00000612829.5	ENST00000636449.1
ENST00000592053.5	ENST00000610972.4
ENST00000624153.1	ENST00000624906.1
ENST00000350669.5	ENST00000673047.2
ENST00000620593.1	ENST00000619102.1
ENST00000620593.1	ENST00000612457.1
ENST00000516706.2	ENST00000364919.1
ENST00000516706.2	ENST00000384420.1
ENST00000459806.1	ENST00000471878.1
ENST00000515574.1	ENST00000504543.1
ENST00000515574.1	ENST00000504104.1
ENST00000515574.1	ENST00000509660.1
ENST00000515574.1	ENST00000504481.1
ENST00000515574.1	ENST00000511681.1
ENST00000515574.1	ENST00000509271.1
ENST00000382575.1	ENST00000382656.1
ENST00000604950.1	ENST00000603935.1
ENST00000641123.1	ENST00000531945.1
ENST00000455020.2	ENST00000341656.4
ENST00000610955.1	ENST00000394939.3
ENST00000638483.1	ENST00000638842.1
ENST00000473333.1	ENST00000620866.1
ENST00000330163.8	ENST00000368956.6
ENST00000625204.1	ENST00000598177.2
ENST00000579701.1	ENST00000582765.1
ENST00000647762.1	ENST00000295226.1
ENST00000621501.1	ENST00000616262.1
ENST00000649161.1	ENST00000648123.1
ENST00000578752.1	ENST00000579044.1
ENST00000563937.1	ENST00000569850.1
ENST00000493539.1	ENST00000477797.1
ENST00000644536.1	ENST00000354419.6
ENST00000623225.1	ENST00000623347.1
ENST00000447310.5	ENST00000325134.9
ENST00000518435.1	ENST00000517935.1
ENST00000613016.1	ENST00000614755.1
ENST00000648132.1	ENST00000362969.1
ENST00000471617.1	ENST00000497416.1
ENST00000419158.1	ENST00000446299.5
ENST00000417910.5	ENST00000439653.1
ENST00000530786.5	ENST00000420794.2
ENST00000421205.2	ENST00000458627.2
ENST00000620928.1	ENST00000391139.1
ENST00000620928.1	ENST00000459461.1
ENST00000620928.1	ENST00000622329.1
ENST00000652175.1	ENST00000651045.1
ENST00000652175.1	ENST00000612377.2
ENST00000664593.1	ENST00000623812.1
ENST00000664593.1	ENST00000636189.1
ENST00000664593.1	ENST00000656631.1
ENST00000664593.1	ENST00000635982.1
ENST00000454518.1	ENST00000612151.1
ENST00000613832.1	ENST00000616096.1
ENST00000613832.1	ENST00000618104.1
ENST00000472589.1	ENST00000434218.1
ENST00000390949.1	ENST00000390852.1
ENST00000617785.1	ENST00000613778.1
ENST00000617785.1	ENST00000619465.1
ENST00000617785.1	ENST00000616535.1
ENST00000617785.1	ENST00000618664.1
ENST00000617785.1	ENST00000616345.1
ENST00000617785.1	ENST00000618602.1
ENST00000617785.1	ENST00000615427.1
ENST00000617785.1	ENST00000613119.1
ENST00000617785.1	ENST00000620268.1
ENST00000617785.1	ENST00000611544.1
ENST00000581792.1	ENST00000615959.1
ENST00000673139.1	ENST00000270238.3
ENST00000520810.6	ENST00000649612.2
ENST00000641279.1	ENST00000330728.4
ENST00000507086.5	ENST00000502741.5
ENST00000565290.5	ENST00000563322.5
ENST00000460849.5	ENST00000612797.4
ENST00000429066.1	ENST00000458706.1
ENST00000450591.1	ENST00000417072.1
ENST00000493745.1	ENST00000477641.1
ENST00000562941.1	ENST00000561549.1
ENST00000504214.1	ENST00000511796.1
ENST00000384404.1	ENST00000384462.1
ENST00000458057.5	ENST00000617505.1
ENST00000448295.5	ENST00000425182.5
ENST00000617997.1	ENST00000612801.1
ENST00000364268.2	ENST00000364992.2
ENST00000641031.1	ENST00000651881.1
ENST00000563079.1	ENST00000673975.1
ENST00000459128.1	ENST00000458961.1
ENST00000512231.5	ENST00000513750.6
ENST00000486094.5	ENST00000464929.5
ENST00000619139.1	ENST00000611435.1
ENST00000457347.6	ENST00000672699.1
ENST00000496537.1	ENST00000441344.1
ENST00000496537.1	ENST00000490990.1
ENST00000478925.5	ENST00000480074.1
ENST00000516340.1	ENST00000517068.1
ENST00000574571.4	ENST00000291231.1
ENST00000484189.1	ENST00000496731.1
ENST00000432606.1	ENST00000455695.1
ENST00000673044.1	ENST00000672315.1
ENST00000372067.7	ENST00000672860.2
ENST00000546612.1	ENST00000549796.1
ENST00000638998.1	ENST00000375707.1
ENST00000365015.1	ENST00000365089.1
ENST00000365015.1	ENST00000622480.1
ENST00000365015.1	ENST00000364412.1
ENST00000365015.1	ENST00000365151.1
ENST00000365015.1	ENST00000363000.1
ENST00000365015.1	ENST00000459002.1
ENST00000365015.1	ENST00000516982.2
ENST00000365015.1	ENST00000598668.1
ENST00000365015.1	ENST00000363043.1
ENST00000617250.1	ENST00000486185.3
ENST00000617250.1	ENST00000479090.3
ENST00000617250.1	ENST00000488659.3
ENST00000648945.1	ENST00000321600.1
ENST00000652446.2	ENST00000368909.7
ENST00000652446.2	ENST00000619379.1
ENST00000430476.1	ENST00000455722.1
ENST00000619815.4	ENST00000616275.4
ENST00000619815.4	ENST00000418016.5
ENST00000619815.4	ENST00000436801.5
ENST00000615117.1	ENST00000620275.1
ENST00000650192.1	ENST00000363083.1
ENST00000344338.7	ENST00000368955.7
ENST00000449645.2	ENST00000453508.1
ENST00000603077.1	ENST00000604102.1
ENST00000471624.1	ENST00000478388.1
ENST00000507905.6	ENST00000511873.6
ENST00000423438.1	ENST00000432915.1
ENST00000615804.1	ENST00000610988.1
ENST00000615804.1	ENST00000611026.1
ENST00000615804.1	ENST00000619488.1
ENST00000620534.1	ENST00000578843.2
ENST00000582617.1	ENST00000577758.1
ENST00000581415.1	ENST00000583272.1
ENST00000418297.1	ENST00000450077.1
ENST00000410176.1	ENST00000411290.2
ENST00000425789.1	ENST00000436067.1
ENST00000437818.1	ENST00000400079.1
ENST00000384527.1	ENST00000384245.1
ENST00000537983.1	ENST00000538509.1
ENST00000300108.7	ENST00000615887.4
ENST00000624333.2	ENST00000623198.2
ENST00000614282.1	ENST00000476024.2
ENST00000614282.1	ENST00000614695.1
ENST00000623095.3	ENST00000625096.3
ENST00000370340.7	ENST00000370335.5
ENST00000370340.7	ENST00000360243.6
ENST00000620768.1	ENST00000620547.1
ENST00000408778.1	ENST00000408548.1
